Title,Description,Price,Rating,Review
"Apple iPhone XR (Black, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Display, 12MP Rear Camera | 7MP Front Camera, A12 Bionic Chip Processor, Water and Dust Resistant (1 meter for Upto 30 minutes, IP67), Face ID for Secure Authentication, Fast-charge Capable, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹52,900",4.6,"8,479 Reviews"
"Apple iPhone 6 (Space Grey, 16 GB)","16 GB ROM, 11.94 cm (4.7 inch) Retina HD Display, 8MP Rear Camera | 1.2MP Front Camera, Apple A8 64-bit processor and M8 Motion Co-processor, 1 Year Manufacturer Warranty","₹52,000",4.4,"16,101 Reviews"
"Apple iPhone 11 Pro Max (Space Grey, 64 GB)","64 GB ROM, 16.51 cm (6.5 inch) Super Retina XDR Display, 12MP + 12MP + 12MP | 12MP Front Camera, A13 Bionic Chip Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,17,100",4.7,98 Reviews
"Apple iPhone 6s Plus (Gold, 32 GB)","32 GB ROM, 13.97 cm (5.5 inch) Retina HD Display, 12MP Rear Camera | 5MP Front Camera, Apple A9 64-bit processor and Embedded M9 Motion Co-processor, Brand Warranty of 1 Year","₹34,900",4.4,"2,356 Reviews"
"Apple iPhone 8 Plus (Space Grey, 256 GB)","256 GB ROM, 13.97 cm (5.5 inch) Retina HD Display, 12MP + 12MP | 7MP Front Camera, A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor, Brand Warranty of 1 Year","₹84,900",4.6,354 Reviews
"Apple iPhone 13 (Starlight, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹44,999",4.6,"13,842 Reviews"
"Apple iPhone 13 (Blue, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹44,999",4.6,"13,842 Reviews"
"Apple iPhone 13 (Midnight, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹44,999",4.6,"13,842 Reviews"
"Apple iPhone 16 (Black, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,999",4.6,478 Reviews
"Apple iPhone 16 (Ultramarine, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,999",4.6,478 Reviews
